"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção - Armário","Localização no Armário - Frasco","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00001","ARMINV 004 ZUFMS ÚMIDA","NEMC; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physocephalus  sp. Diesing, 1861","Physocephalus","Diesing, 1861","Animalia","Nematoda","Chromadorea","Rhabditida","Spirocercidae","Ascaropsinae","Physocephalus ","x","x","x","gênero","aceito","x","x","ICZN","sp2.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",84,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",35,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus podicipinus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00001","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00002","ARMINV 004 ZUFMS ÚMIDA","NEMN; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Porrocaecum sp. Railliet & Henry, 1912","Porrocaecum","Railliet & Henry, 1912","Animalia","Nematoda","Chromadorea","Rhabditida","Ascarididae","Ascaridinae","Porrocaecum","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",59,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",8,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Hypsiboas raniceps (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00002","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00003","ARMINV 004 ZUFMS ÚMIDA","INDETERMINADOS-Fazenda Alegria; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Nematoda Diesing, 1861","Nematoda","Diesing, 1861","Animalia","Nematoda","x","x","x","x","x","x","x","x","filo","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",46,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",16,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Hypsiboas raniceps (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00003","x"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00004","ARMINV 004 ZUFMS ÚMIDA","NEMF; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Oxyascaris  sp. Travassos, 1920","Oxyascaris","Travassos, 1920","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Oxyascaris","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",67,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus fuscus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00004","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00005","ARMINV 004 ZUFMS ÚMIDA","NEMZ; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocercidae Travassos, 1925","Cosmocercidae","Travassos, 1925","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",26,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",37,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00005","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00006","ARMINV 004 ZUFMS ÚMIDA","NEMH; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocercella cf. phyllomedusae Baker & Vaucher, 1983","Cosmocercella phyllomedusae","Baker & Vaucher, 1983","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Cosmocercella ","x","phyllomedusae","x","espécie","aceito","x","x","ICZN","cf.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.","KC46","x","18","12","2013","x","2013-12-18","18.XII.2013","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Phyllomedusa azurea (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00006","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00007","ARMINV 004 ZUFMS ÚMIDA","NEMD; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Raillietnema minor Freitas & Dobbin Jr., 1961","Raillietnema minor","Freitas & Dobbin Jr., 1961","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Raillietnema","x","minor","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",56,"x","10","12","2012","x","2012-12-10","10.XII.2012","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",48,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Phyllomedusa azurea (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00007","x"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00008","ARMINV 004 ZUFMS ÚMIDA","NEME; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Schrankiana formosula Freitas, 1959 ","Schrankiana formosula","Freitas, 1959 ","Animalia","Nematoda","Chromadorea","Rhabditida","Atractidae","Atractinae","Schrankiana","x","formosula","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",64,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",8,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus chaquensis (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00008","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00009","ARMINV 004 ZUFMS ÚMIDA","NEMB; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocerca podicipinus Baker & Vaucher, 1984","Cosmocerca podicipinus","Baker & Vaucher, 1984","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Cosmocerca ","x","podicipinus","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",30,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",8,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus chaquensis (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00009","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00010","ARMINV 004 ZUFMS ÚMIDA","NEMF; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Oxyascaris oxyascaris Travassos, 1920","Oxyascaris oxyascaris","Travassos, 1920","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Oxyascaris","x","oxyascaris","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",23,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",4,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00010","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00011","ARMINV 004 ZUFMS ÚMIDA","NEMJ; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Parapharyngodon  sp. Chatterji, 1933","Parapharyngodon","Chatterji, 1933","Animalia","Nematoda","Chromadorea","Rhabditida","Pharyngodonidae","Pharyngodoninae","Parapharyngodon ","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",39,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",18,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00011","x"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00012","ARMINV 004 ZUFMS ÚMIDA","NEMN; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Rhabdias sp. Stiles & Hassall, 1905","Rhabdias","Stiles & Hassall, 1905","Animalia","Nematoda","Chromadorea","Rhabditida","Rhabdiasidae","Rhabditinae","Rhabdias","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",34,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",4,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus chaquensis (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00012","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00013","ARMINV 004 ZUFMS ÚMIDA","NEMAD; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Ascarididae Baird 1853","Ascarididae","Baird 1853","Animalia","Nematoda","Chromadorea","Rhabditida","Ascarididae","x","x","x","x","x","família","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",85,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",32,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus podicipinus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00013","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00014","ARMINV 004 ZUFMS ÚMIDA","NEMI; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Oswaldocruzia sp. Travassos, 1917","Oswaldocruzia","Travassos, 1917","Animalia","Nematoda","Chromadorea","Strongylida","Molineidae","Molineinae","Oswaldocruzia","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",42,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Hypsiboas raniceps (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00014","x"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00015","ARMINV 004 ZUFMS ÚMIDA","NEMK; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physaloptera sp. Rudolphi, 1819","Physaloptera","Rudolphi, 1819","Animalia","Nematoda","Chromadorea","Rhabditida","Physalopteridae","Physalopterinae","Physaloptera","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",19,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",5,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Hypsiboas raniceps (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00015","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00016","ARMINV 004 ZUFMS ÚMIDA","NEMAE; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Rhabdochonidae Skrjabin, 1946","Rhabdochonidae","Skrjabin, 1946","Animalia","Nematoda","Chromadorea","Rhabditida","Rhabdochonidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",48,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",16,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00016","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00017","ARMINV 004 ZUFMS ÚMIDA","NEMG; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Brevimulticaecum sp. Mozgovoi, 1951","Brevimulticaecum","Mozgovoi, 1951","Animalia","Nematoda","Chromadorea","Rhabditida","Heterocheilidae","Heterocheilinae","Brevimulticaecum","x","x","x","gênero","aceito","x","x","ICZN","sp.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.","KC10","x","18","12","2013","x","2013-12-18","18.XII.2013","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",57,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus fuscus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00017","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00018","ARMINV 004 ZUFMS ÚMIDA","NEML; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physalopteroides venancioi (Lent, Freitas & Proença, 1946)","Physalopteroides venancioi","(Lent, Freitas & Proença, 1946)","Animalia","Nematoda","Chromadorea","Rhabditida","Physalopteridae","Physalopterinae","Physalopteroides","x","venancioi","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",49,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",3,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00018","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00019","ARMINV 004 ZUFMS ÚMIDA","NEMB; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Cosmocerca parva Travassos, 1925 ","Cosmocerca parva","Travassos, 1925 ","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Cosmocerca","x","parva","x","espécie","aceito","x","x","ICZN","x","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",93,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",2,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Phyllomedusa azurea (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00019","x"
"2017-10-18","conferir número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00020","ARMINV 004 ZUFMS ÚMIDA","NEMC; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physocephalus  sp. Diesing, 1861","Physocephalus","Diesing, 1861","Animalia","Nematoda","Chromadorea","Rhabditida","Spirocercidae","Ascaropsinae","Physocephalus","x","x","x","gênero","aceito","x","x","ICZN","sp1.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",65,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",63,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus chaquensis (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00020","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00021","ARMINV 004 ZUFMS ÚMIDA","NEMC; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Physocephalus  sp. Diesing, 1861","Physocephalus","Diesing, 1861","Animalia","Nematoda","Chromadorea","Rhabditida","Spirocercidae","Ascaropsinae","Physocephalus","x","x","x","gênero","aceito","x","x","ICZN","sp1.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",58,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",6,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Trachycephalus typhonius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00021","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEM00022","ARMINV 004 ZUFMS ÚMIDA","NEMA; ZUFMS PARASITOS P002","nenhum","nenhum","nenhum","Aplectana sp. Railliet & Henry, 1916","Aplectana","Railliet & Henry, 1916","Animalia","Nematoda","Chromadorea","Rhabditida","Cosmocercidae","Cosmocercinae","Aplectana","x","x","x","gênero","aceito","x","x","ICZN","sp1.","CAMPIÃO, K.","x","x","CAMPIÃO, K. et al.",35,"x","03","02","2011","x","2011-02-03","03.II.2011","não informado","x","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'00""S","56°39'00""W","-18.983333","-56.650000","nulo","WGS84","x","nulo","nulo","lagoa salina","nulo","nulo","nenhuma","lote de animais inteiros (ETOH 70%)",7,"indeterminado","não informado","indeterminado","não informado","selvagem","não informado","parasita de Leptodactylus podicipinus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2018","br:UFMS:ZUFMS:ZUFMS-NEM00022","x"
